time,moment arm,Moment Arm (m),gear ratio,RPM,height,Jump Height
57.60193,4,0.04,37.5,800,3.182082,0.03182082
119.585,4,0.04,50,600,3.307464,0.03307464
177.5179,4,0.04,62.5,480,3.306277,0.03306277
236.0197,4,0.04,75,400,3.312377,0.03312377
293.5492,4,0.04,87.5,342.85714286,3.30617,0.0330617
351.3209,4,0.04,100,300,3.306129,0.03306129
408.9095,4,0.04,112.5,266.66666667,3.306447,0.03306447
466.6752,4,0.04,125,240,3.306642,0.03306642
524.3212,4,0.04,137.5,218.18181818,3.306061,0.03306061
582.1991,4,0.04,150,200,3.30637,0.0330637
639.812,4,0.04,162.5,184.61538462,3.306087,0.03306087
697.4439,4,0.04,175,171.42857143,3.30617,0.0330617
755.0879,4,0.04,187.5,160,3.306959,0.03306959
812.8445,4,0.04,200,150,3.307084,0.03307084
870.6172,4,0.04,212.5,141.17647059,3.307997,0.03307997
928.3913,4,0.04,225,133.33333333,3.30641,0.0330641
993.4979,5,0.05,25,1200,1.047812,0.01047812
1059.607,5,0.05,37.5,800,1.047831,0.01047831
1126.253,5,0.05,50,600,1.047821,0.01047821
1193.422,5,0.05,62.5,480,1.047588,0.01047588
1260.369,5,0.05,75,400,1.047841,0.01047841
1327.174,5,0.05,87.5,342.85714286,1.047835,0.01047835
1395.589,5,0.05,100,300,1.046322,0.01046322
1466.636,5,0.05,112.5,266.66666667,1.047664,0.01047664
1536.097,5,0.05,125,240,1.047697,0.01047697
1603.076,5,0.05,137.5,218.18181818,1.04764,0.0104764
1669.605,5,0.05,150,200,1.044468,0.01044468
1736.38,5,0.05,162.5,184.61538462,1.047821,0.01047821
1807.848,5,0.05,175,171.42857143,1.043532,0.01043532
1876.941,5,0.05,187.5,160,1.046409,0.01046409
1944.24,5,0.05,200,150,1.047679,0.01047679
2009.721,5,0.05,212.5,141.17647059,1.047729,0.01047729
2079.563,5,0.05,225,133.33333333,1.043459,0.01043459
2155.398,6,0.06,25,1200,-1.71699,-0.0171699
2231.976,6,0.06,37.5,800,-1.694475,-0.01694475
2306.769,6,0.06,50,600,-1.720787,-0.01720787
2384.395,6,0.06,62.5,480,-1.647076,-0.01647076
