0.04, 30, 0.1931783
0.04, 50, 0.1237973
0.04, 75, 0.03931749
0.04, 100, -0.003881698
0.04, 150, -0.03708767
0.05, 30, 0.2162176
0.05, 50, 0.189352
0.05, 75, 0.08630241
0.05, 100, 0.02348454
0.05, 150, -0.03341649
0.06, 30, 0.2217281
0.06, 50, 0.2351575
0.06, 75, 0.1307609
0.06, 100, 0.05983301
0.06, 150, -0.02461624
0.08, 30, 0.2015478
0.08, 50, 0.2842997
0.08, 75, 0.2365386
0.08, 100, 0.1344379
0.08, 150, 0.007467041
0.12, 30, 0.08222729
0.12, 50, 0.2656517
0.12, 75, 0.3466967
0.12, 100, 0.3050495
0.12, 150, 0.1078326
0.04, 30, -0.07999109
0.04, 50, -0.07999858
0.04, 75, -0.08000233
0.04, 100, -0.08000419
0.04, 150, -0.08000606
0.05, 30, 0.2162624
0.05, 50, 0.189352
0.05, 75, 0.08628964
0.05, 100, 0.02349985
0.05, 150, -0.03355127
0.06, 30, 0.2217483
0.06, 50, 0.2351575
0.04, 30, 0.1931135
0.04, 50, 0.1238292
0.04, 75, 0.0391683
0.04, 100, -0.003901887
0.04, 150, -0.03687533
0.05, 30, 0.2163209
0.05, 50, 0.1893334
0.05, 75, 0.08630241
0.05, 100, 0.02345943
0.05, 150, -0.03355127
0.06, 30, 0.2216982
0.06, 50, 0.2351575
0.06, 75, 0.1307609
0.06, 100, 0.05980143
0.06, 150, -0.02464392
0.08, 30, 0.2015478
0.08, 50, 0.2843215
0.08, 75, 0.2365386
0.08, 100, 0.1344593
0.08, 150, 0.007467041
0.12, 30, 0.08222729
0.12, 50, 0.2657152
0.12, 75, 0.3466967
0.12, 100, 0.3050495
0.12, 150, 0.1077855
