0.04, 1200, -0.02422247
0.04, 800, -0.02321466
0.04, 600, -0.02956707
0.04, 480, -0.01697242
0.04, 400, -0.01325582
0.04, 342.8571, -0.02563863
0.04, 300, -0.03344193
0.04, 266.6667, -0.03533451
0.04, 240, -0.03570713
0.04, 218.1818, -0.03631248
0.04, 200, -0.03654912
0.04, 184.6154, -0.03678716
0.04, 171.4286, -0.03678335
0.04, 1200, -0.02362815
0.04, 800, -0.02313544
0.04, 600, -0.02953729
0.04, 480, -0.01697242
0.04, 400, -0.01346481
0.04, 342.8571, -0.02563863
0.04, 300, -0.03351416
0.04, 266.6667, -0.03537805
0.04, 240, -0.03564417
0.04, 218.1818, -0.03625311
0.04, 200, -0.03646476
0.04, 184.6154, -0.0367302
0.04, 171.4286, -0.03685636
0.04, 160, -0.03694667
0.04, 150, -0.03718242
0.04, 141.1765, -0.03718641
0.04, 133.3333, -0.03737188
0.05, 1200, -0.02709604
0.05, 800, -0.02712675
0.05, 600, -0.0257992
0.05, 480, -0.02483261
0.05, 400, -0.01131025
0.05, 342.8571, 0.01046757
0.05, 300, -0.01014366
0.05, 266.6667, -0.02500167
0.05, 240, -0.0359978
0.05, 218.1818, -0.0389467
0.05, 200, -0.04017905
0.05, 184.6154, -0.04049637
0.05, 171.4286, -0.04126078
0.05, 160, -0.04113911
0.05, 150, -0.04149736
0.05, 141.1765, -0.04179722
0.05, 133.3333, -0.04163383
0.06, 1200, -0.03096933
0.06, 800, -0.02991081
0.06, 600, -0.02751421
0.06, 480, -0.02507791
0.06, 400, -0.01935654
0.06, 342.8571, 0.002621536
0.06, 300, 0.03586424
0.06, 266.6667, 0.01839508
0.06, 240, -0.004892197
0.06, 218.1818, -0.0212277
0.06, 200, -0.03387077
0.06, 184.6154, -0.03832968
0.06, 171.4286, -0.04084923
0.06, 160, -0.0417082
0.06, 150, -0.04218611
0.06, 141.1765, -0.04285534
0.06, 133.3333, -0.04311611
0.07, 1200, -0.03493288
0.07, 800, -0.03258226
0.07, 600, -0.02990934
0.07, 480, -0.02633625
0.07, 400, -0.01606886
0.07, 342.8571, 0.000922842
0.07, 300, 0.0325947
0.07, 266.6667, 0.06771013
0.07, 240, 0.04921598
0.07, 218.1818, 0.0222357
0.07, 200, -0.0006267548
0.07, 184.6154, -0.01683209
0.07, 171.4286, -0.03046985
0.07, 160, -0.0358647
0.07, 150, -0.03921491
0.07, 141.1765, -0.04101004
0.07, 133.3333, -0.04165636
0.08, 1200, -0.03990801
0.08, 800, -0.036622
0.08, 600, -0.03298868
0.08, 480, -0.02735937
0.08, 400, -0.01158536
0.08, 342.8571, 0.01138903
0.08, 300, 0.0392094
0.08, 266.6667, 0.07716086
0.08, 240, 0.1009361
0.08, 218.1818, 0.07680153
0.08, 200, 0.04807011
0.08, 184.6154, 0.02252108
0.08, 171.4286, 0.001375141
0.08, 160, -0.01504823
0.08, 150, -0.02576654
0.08, 141.1765, -0.03294995
0.08, 133.3333, -0.03725515
0.09, 1200, -0.04528479
0.09, 800, -0.04080756
0.09, 600, -0.03629183
0.09, 480, -0.02725392
0.09, 400, -0.006398735
0.09, 342.8571, 0.02241053
0.09, 300, 0.05584873
0.09, 266.6667, 0.09186981
0.09, 240, 0.131139
0.09, 218.1818, 0.1290628
0.09, 200, 0.09999271
0.09, 184.6154, 0.06905443
0.09, 171.4286, 0.0414949
0.09, 160, 0.01819435
0.09, 150, -0.0002964783
0.09, 141.1765, -0.01608452
0.09, 133.3333, -0.0248743
0.1, 1200, -0.051107
0.1, 800, -0.04593334
0.1, 600, -0.03903095
0.1, 480, -0.026371
0.1, 400, -0.0009676933
0.1, 342.8571, 0.03236854
0.1, 300, 0.07074154
0.1, 266.6667, 0.112585
0.1, 240, 0.1562749
0.1, 218.1818, 0.1713707
0.1, 200, 0.1489384
0.1, 184.6154, 0.1156573
0.1, 171.4286, 0.0840501
0.1, 160, 0.05549156
0.1, 150, 0.03130415
0.1, 141.1765, 0.01107494
0.1, 133.3333, -0.005681267
0.11, 1200, -0.0575804
0.11, 800, -0.0506702
0.11, 600, -0.04196766
0.11, 480, -0.02543726
0.11, 400, 0.004309845
0.11, 342.8571, 0.04150166
0.11, 300, 0.08414991
0.11, 266.6667, 0.1302524
0.11, 240, 0.1797772
0.11, 218.1818, 0.2078497
0.11, 200, 0.1913476
0.11, 184.6154, 0.159753
0.11, 171.4286, 0.1248831
0.11, 160, 0.09277538
0.11, 150, 0.06408776
0.11, 141.1765, 0.03950249
0.11, 133.3333, 0.01839287
0.12, 1200, -0.06488239
0.12, 800, -0.0556789
0.12, 600, -0.0445158
0.12, 480, -0.02416908
0.12, 400, 0.008907547
0.12, 342.8571, 0.04918823
0.12, 300, 0.0954361
0.12, 266.6667, 0.1457563
0.12, 240, 0.1990896
0.12, 218.1818, 0.2372503
0.12, 200, 0.2305794
0.12, 184.6154, 0.2002086
0.12, 171.4286, 0.1642634
0.12, 160, 0.1289919
0.12, 150, 0.09672741
0.12, 141.1765, 0.06797901
0.12, 133.3333, 0.04367729
0.13, 1200, -0.07300604
0.13, 800, -0.06088817
0.13, 600, -0.04710303
0.13, 480, -0.0232587
0.13, 400, 0.0125017
0.13, 342.8571, 0.05575472
0.13, 300, 0.1049723
0.13, 266.6667, 0.1578977
0.13, 240, 0.214549
0.13, 218.1818, 0.2603544
0.13, 200, 0.2638091
0.13, 184.6154, 0.2383219
0.13, 171.4286, 0.2011571
0.13, 160, 0.1631249
0.13, 150, 0.1278599
0.13, 141.1765, 0.09626187
0.13, 133.3333, 0.06854431
